,t,ax,ay,az,wx,wy,wz
0,0.0,0.027517,-0.078364,9.95115,0.0,0.0,0.0
1,0.00125,0.027517,-0.043669,9.955338,0.0,0.0,0.0
2,0.0025,0.071784,-0.040677,9.94457,0.0,0.0,0.0
3,0.00375,0.091525,-0.040677,9.976275,0.0,0.0,0.0
4,0.005,0.017347,-0.05324,9.95474,0.0,0.0,0.0
5,0.00625,0.05324,-0.060418,9.95474,0.0,0.0,0.0
6,0.0075,0.035294,-0.07657,9.972686,0.0,0.0,0.0
7,0.00875,0.035294,-0.062213,9.960124,0.0,0.0,0.0
8,0.01,0.068195,-0.062213,9.968498,0.0,0.0,0.0
9,0.01125,0.078963,-0.098703,9.940981,0.0,0.0,0.0
10,0.0125,0.049052,-0.026321,9.940981,0.0,0.0,0.0
11,0.01375,0.062811,-0.03649,9.934401,0.0,0.0,0.0
12,0.015,0.053838,-0.060418,9.942776,0.0,0.0,0.0
13,0.01625,0.057427,-0.040677,9.979266,0.0,0.0,0.0
14,0.0175,0.062811,-0.073579,9.978668,0.0,0.0,0.0
15,0.01875,0.062811,-0.090329,9.934401,0.0,0.0,0.0
16,0.02,0.056231,-0.113659,9.975079,0.0,0.0,0.0
17,0.02125,0.070588,-0.034695,9.952347,0.0,0.0,0.0
18,0.0225,0.064606,-0.034695,9.970891,0.0,0.0,0.0
19,0.02375,0.077168,-0.044267,9.953543,0.0,0.0,0.0
20,0.025,0.02991,-0.058624,9.960124,0.0,0.0,0.0
21,0.02625,0.07657,-0.046061,9.960124,0.0,0.0,0.0
22,0.0275,0.053838,-0.087936,9.958927,0.0,0.0,0.0
23,0.02875,0.056829,-0.059222,9.933803,0.0,0.0,0.0
24,0.03,0.030508,-0.096909,9.95474,0.0,0.0,0.0
25,0.03125,0.030508,-0.058624,9.961918,0.0,0.0,0.0
26,0.0325,0.055034,-0.081954,9.980463,0.0,0.0,0.0
27,0.03375,0.038285,-0.047856,9.967302,0.0,0.0,0.0
28,0.035,0.026321,-0.047856,9.939186,0.0,0.0,0.0
29,0.03625,0.047856,-0.087936,9.940383,0.0,0.0,0.0
30,0.0375,0.034097,-0.074177,9.968498,0.0,0.0,0.0
31,0.03875,0.077168,-0.092123,9.968498,0.0,0.0,0.0
32,0.04,0.038883,-0.048454,9.938588,0.0,0.0,0.0
33,0.04125,0.038883,-0.039481,9.947561,0.0,0.0,0.0
34,0.0425,0.060418,-0.039481,9.958927,0.0,0.0,0.0
35,0.043750000000000004,0.064606,-0.083748,9.958927,0.0,0.0,0.0
36,0.045,0.055633,-0.122033,9.943374,0.0,0.0,0.0
37,0.04625,0.065802,-0.068195,9.9679,0.0,0.0,0.0
38,0.0475,0.065802,-0.068195,9.960124,0.0,0.0,0.0
39,0.04875,0.060418,-0.086141,9.960124,0.0,0.0,0.0
40,0.05,-0.010169,-0.057427,9.911669,0.0,0.0,0.0
41,0.051250000000000004,-0.010169,-0.083748,9.981659,0.0,0.0,0.0
42,0.0525,0.068195,-0.083748,9.948159,0.0,0.0,0.0
43,0.05375,0.010767,-0.0664,9.948159,0.0,0.0,0.0
44,0.055,0.021535,-0.105882,9.958329,0.0,0.0,0.0
45,0.05625,0.021535,-0.06999,9.96132,0.0,0.0,0.0
46,0.0575,0.035294,-0.064008,9.951749,0.0,0.0,0.0
47,0.058750000000000004,0.054436,-0.064008,9.951749,0.0,0.0,0.0
48,0.06,0.025722,-0.01974,9.951749,0.0,0.0,0.0
49,0.06125,0.037686,-0.052043,9.976873,0.0,0.0,0.0
50,0.0625,0.037686,-0.044267,9.936794,0.0,0.0,0.0
51,0.06375,0.044865,-0.044267,9.95474,0.0,0.0,0.0
52,0.065,0.054436,-0.052642,9.95474,0.0,0.0,0.0
53,0.06625,0.064606,-0.050249,9.962516,0.0,0.0,0.0
54,0.0675,0.064606,-0.075373,9.945168,0.0,0.0,0.0
55,0.06875,0.034097,-0.075373,9.952945,0.0,0.0,0.0
56,0.07,0.009571,-0.081355,9.952945,0.0,0.0,0.0
57,0.07125000000000001,0.009571,-0.062811,9.966704,0.0,0.0,0.0
58,0.0725,0.035294,-0.062811,9.960124,0.0,0.0,0.0
59,0.07375,0.031106,-0.075373,9.960124,0.0,0.0,0.0
60,0.075,0.060418,-0.049052,9.946963,0.0,0.0,0.0
61,0.07625,0.060418,-0.068793,9.957731,0.0,0.0,0.0
62,0.0775,0.038285,-0.068793,9.964909,0.0,0.0,0.0
63,0.07875,0.069391,-0.095712,9.964909,0.0,0.0,0.0
64,0.08,0.050249,-0.068195,9.98465,0.0,0.0,0.0
65,0.08125,0.050249,-0.061615,9.928419,0.0,0.0,0.0
66,0.0825,0.041874,-0.061615,9.946365,0.0,0.0,0.0
67,0.08375,0.072981,-0.061016,9.946365,0.0,0.0,0.0
68,0.085,0.126221,-0.064008,9.980463,0.0,0.0,0.0
69,0.08625000000000001,0.126221,-0.068195,9.945767,0.0,0.0,0.0
70,0.08750000000000001,0.056231,-0.068195,9.955936,0.0,0.0,0.0
71,0.08875,0.049052,-0.081355,9.955936,0.0,0.0,0.0
72,0.09,0.054436,-0.073579,9.952945,0.0,0.0,0.0
73,0.09125,0.054436,-0.090329,9.972088,0.0,0.0,0.0
74,0.0925,0.020338,-0.090329,9.972088,0.0,0.0,0.0
75,0.09375,0.037088,-0.075972,9.964311,0.0,0.0,0.0
76,0.095,0.037088,-0.084346,9.939785,0.0,0.0,0.0
77,0.09625,0.011365,-0.083748,9.946365,0.0,0.0,0.0
78,0.0975,0.035892,-0.083748,9.958329,0.0,0.0,0.0
79,0.09875,0.061016,-0.061615,9.958329,0.0,0.0,0.0
