,t,ax,ay,az,wx,wy,wz
0,0.0,0.035294,-0.175274,9.943972,0.0,0.0,0.0
1,0.00125,-0.005982,-0.175274,9.985846,0.0,0.0,0.0
2,0.0025,-0.010767,-0.175872,9.985846,0.0,0.0,0.0
3,0.00375,-0.005383,-0.156729,9.970293,0.0,0.0,0.0
4,0.005,-0.005383,-0.224925,9.974481,0.0,0.0,0.0
5,0.00625,0.008374,-0.224925,9.987043,0.0,0.0,0.0
6,0.0075,-0.010169,-0.215354,9.991828,0.0,0.0,0.0
7,0.00875,0.008374,-0.187238,9.991828,0.0,0.0,0.0
8,0.01,0.010169,-0.166899,9.996614,0.0,0.0,0.0
9,0.01125,0.010169,-0.184845,9.970293,0.0,0.0,0.0
10,0.0125,-0.002991,-0.184845,9.948159,0.0,0.0,0.0
11,0.01375,-0.001794,-0.132801,9.982855,0.0,0.0,0.0
12,0.015,0.001794,-0.184247,9.982855,0.0,0.0,0.0
13,0.01625,0.022133,-0.144167,9.958927,0.0,0.0,0.0
14,0.0175,-0.002991,-0.167497,9.996614,0.0,0.0,0.0
15,0.01875,-0.002991,-0.167497,9.970891,0.0,0.0,0.0
16,0.02,0.005982,-0.167497,9.966704,0.0,0.0,0.0
17,0.02125,-0.001794,-0.187238,9.966704,0.0,0.0,0.0
18,0.0225,0.047258,-0.180059,9.984052,0.0,0.0,0.0
19,0.02375,0.047258,-0.17647,9.967302,0.0,0.0,0.0
20,0.025,0.005383,-0.17647,9.983454,0.0,0.0,0.0
21,0.02625,0.005982,-0.179461,9.983454,0.0,0.0,0.0
22,0.0275,-0.011365,-0.175872,9.957731,0.0,0.0,0.0
23,0.02875,-0.011365,-0.206979,9.981061,0.0,0.0,0.0
24,0.03,0.009571,-0.206979,9.965507,0.0,0.0,0.0
25,0.03125,0.040677,-0.211764,9.965507,0.0,0.0,0.0
26,0.0325,0.000598,-0.164506,9.957133,0.0,0.0,0.0
27,0.03375,0.000598,-0.175872,9.979864,0.0,0.0,0.0
28,0.035,-0.034097,-0.175872,9.968498,0.0,0.0,0.0
29,0.03625,0.001794,-0.197407,9.968498,0.0,0.0,0.0
30,0.0375,-0.008973,-0.171685,9.972686,0.0,0.0,0.0
31,0.03875,-0.008973,-0.185443,9.978668,0.0,0.0,0.0
